text,rating,source
"Заказывала двери, мне понравились быстрота и качество работы. Ребята приехали, поставили всё быстро, четко и качественно, хотя я сама не присутствовала, мне об этом рассказал муж. Мне также очень понравился менеджер в офисе, он был вежливым, тактичным, всё подробно объяснил и подсказал. Мне вовремя прислали документы и отзвонились по поводу работ. Мы просили выполнить всё побыстрее, поэтому всё действительно произошло в кратчайшие сроки, как мы и договаривались.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Я обращался по поводу установки межкомнатной двери, мастер работал один и справился хорошо. Качеством монтажа я доволен, всё сделали нормально, претензий у меня нет.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Мне очень понравилось обслуживание в этой организации, я даже специально звонила руководителям, чтобы они отблагодарили своих сотрудников. Внимательно всё рассказали и объяснили, что для меня, как для пожилого человека, было крайне важно. В офисе созданы все удобства: когда я зашла, мне сразу предложили стульчик, чтобы было комфортно подписывать документы. За последние годы я заказала здесь в общей сложности 24 окна для двух своих дач, включая большие веранды, а в последний раз приобрела 2 окна, также заказывала тут 5 дверей.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Обратился в компанию для замены стеклопакета в окне по рекомендации знакомых, которые уже устанавливали здесь окна и остались довольны. Мой опыт также оказался положительным: пришел, оставил заявку, специалисты все быстро и четко оформили. Заказ был готов примерно через 5 дней или неделю, как и обещали, в сроки полностью уложились. Когда пакет пришел, мне позвонили, мы договорились о времени, мастера пришли и оперативно все сделали. В компании работают грамотные сотрудники, которые всегда подскажут, расскажут и сориентируют по всем вопросам, так что качеством сервиса я доволен.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Вежливый персонал, качественное обслуживание, качественные материалы. Профессиональный мастер всё сделал четко: точно произвел замеры и выполнил работу по установке и монтажу рулонных штор ""Зебра"" качественно.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Мне понравилось всё: и обслуживание в офисе, и то, как установили двери. Сотрудники очень приятные, добрые, отзывчивые и понимающие люди, а мастера - настоящие профессионалы своего дела. Самое главное, что меня поняли, услышали мои пожелания и качественно выполнили работу. Все сработали на отлично!",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Мастера очень внимательные, слушают, чего хочет клиент, при этом советуют что-то получше или подешевле, в зависимости от пожеланий. То есть не просто выполняют заказ, а реально стараются помочь с выбором. Ребята, которые ставили двери, тоже замечательные, всё сделали очень хорошо. Все молодцы!",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"В последнем заказе нам сделали и установили лестницу из массива, а также пошили две шторы. Все прошло без задержек, доставка была своевременной. Изделия выполнены качественно, претензий нет. Юлия сопровождала наш проект и поддерживала на каждом этапе, а Антон предложил ценный совет по выбору цвета. Мы долго обсуждали этот момент, и его рекомендация полностью подошла к нашему интерьеру.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Выбирали с мужем межкомнатные двери, при этом главными критериями были красота и надёжность. В результате получили именно такие изделия, которые прекрасно вписываются в интерьер и выглядят очень привлекательно. Установка прошла аккуратно и профессионально, всё сделано чисто и без лишних нареканий. Работу монтажников отличает внимательность и умение выполнять задачи с должным подходом. Общение с сотрудниками оставило положительные впечатления благодаря их вежливости и компетентности.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
"Менеджер Антон очень хороший, спокойный и вежливый, всё доходчиво объяснил и показал, назначили удобное время. Ребята-замерщики тоже понравились. Я попросил доделать пару деталей снизу у плинтуса, Антон сразу согласился, и всё сделали без вопросов и доплат. Монтаж межкомнатных дверей занял 1 день, как и было в договоре.",5.0,https://www.yell.ru/spb/com/kompaniya-interer-plyus_14445020/reviews/
